gn_division,total_crimes,burglary_count,theft_count,vehicle_count,robbery_count,drugs_count,stabbing_count,avg_victim_age,female_victim_ratio,urban_ratio,holiday_ratio,rainy_ratio,unemployment_rate,avg_income,building_density,land_area_density,road_density,ds_division,year,week_sin,week_cos,log_population,distance_km
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2019,0.12053668025532305,0.992708874098054,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.23931566428755774,0.970941817426052,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.3546048870425356,0.9350162426854148,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.4647231720437685,0.8854560256532099,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.5680647467311558,0.8229838658936564,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.6631226582407952,0.7485107481711011,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.7485107481711011,0.6631226582407953,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.8229838658936564,0.5680647467311559,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.8854560256532099,0.4647231720437686,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.9350162426854148,0.35460488704253557,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.970941817426052,0.23931566428755804,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.992708874098054,0.120536680255323,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,1.0,-1.6081226496766364e-16,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.992708874098054,-0.12053668025532288,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.9709418174260521,-0.2393156642875575,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.9350162426854148,-0.35460488704253545,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.8854560256532099,-0.4647231720437685,6.831953565565855,0.0833
Ampitiya North,1,0,0,0,0,1,0,35.0,0.0,1.0,0.0,1.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.8229838658936565,-0.5680647467311557,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.7485107481711013,-0.663122658240795,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.6631226582407952,-0.7485107481711012,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.5680647467311558,-0.8229838658936564,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.46472317204376906,-0.8854560256532096,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.35460488704253584,-0.9350162426854147,6.831953565565855,0.0833
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.23931566428755768,-0.970941817426052,6.831953565565855,0.0833
Ampitiya North,1,0,0,1,0,0,0,36.0,0.0,1.0,0.0,1.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,0.12053668025532308,-0.992708874098054,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-3.216245299353273e-16,-1.0,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.12053668025532283,-0.992708874098054,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.23931566428755743,-0.9709418174260521,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.3546048870425356,-0.9350162426854148,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.46472317204376806,-0.8854560256532101,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.5680647467311556,-0.8229838658936565,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.663122658240795,-0.7485107481711013,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.7485107481711011,-0.6631226582407952,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.8229838658936564,-0.5680647467311559,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.8854560256532096,-0.4647231720437691,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.9350162426854147,-0.3546048870425359,6.831953565565855,0.3604
Ampitiya North,0,0,0,0,0,0,0,35.0,0.0,0.0,0.0,0.0,4.517222222222222,115410.38888888889,593.9277777777778,11.345,18.91111111111111,Gangawata Korale,2020,-0.970941817426052,-0.23931566428755774,6.831953565565855,0.3604
